OCC_YEAR,OCC_MONTH,OCC_DOW,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_TYPE,BIKE_COST,STATUS,NEIGHBOURHOOD_158
2014,April,Friday,D51,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SC,1000.0,STOLEN,Cabbagetown-South St.James Town (71)
2014,April,Tuesday,D41,"Apartment (Rooming House, Condo)",Apartment,EL,,STOLEN,Clairlea-Birchmount (120)
2014,April,Tuesday,D41,"Apartment (Rooming House, Condo)",Apartment,EL,,STOLEN,Clairlea-Birchmount (120)
2014,January,Monday,D51,"Apartment (Rooming House, Condo)",Apartment,EL,2484.8701171875,STOLEN,Church-Wellesley (167)
2014,April,Tuesday,D41,"Apartment (Rooming House, Condo)",Apartment,MT,,STOLEN,Clairlea-Birchmount (120)
2014,April,Tuesday,D41,"Apartment (Rooming House, Condo)",Apartment,RC,,STOLEN,Clairlea-Birchmount (120)
2014,April,Wednesday,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,RG,600.0,STOLEN,Blake-Jones (69)
2014,April,Tuesday,D41,"Apartment (Rooming House, Condo)",Apartment,MT,,STOLEN,Clairlea-Birchmount (120)
2014,April,Saturday,D12,"Single Home, House (Attach Garage, Cottage, Mobile)",House,SC,1000.0,STOLEN,Rockcliffe-Smythe (111)
2014,April,Friday,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,EL,1300.0,STOLEN,Blake-Jones (69)
2014,April,Friday,D14,"Apartment (Rooming House, Condo)",Apartment,RG,500.0,STOLEN,Little Portugal (84)
2014,April,Saturday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,MT,100.0,STOLEN,Downtown Yonge East (168)
2014,April,Sunday,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,700.0,STOLEN,Wellington Place (164)
2013,March,Monday,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,RC,860.0,RECOVERED,Fort York-Liberty Village (163)
2014,March,Thursday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,MT,70.0,STOLEN,Downtown Yonge East (168)
2014,April,Tuesday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RG,1100.0,STOLEN,Downtown Yonge East (168)
2014,April,Monday,D51,"Single Home, House (Attach Garage, Cottage, Mobile)",House,RC,1300.0,STOLEN,Moss Park (73)
2014,April,Tuesday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RC,800.0,STOLEN,Downtown Yonge East (168)
2014,April,Tuesday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,1300.0,STOLEN,Church-Wellesley (167)
2014,April,Wednesday,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,,UNKNOWN,Church-Wellesley (167)
2014,April,Tuesday,D52,Universities / Colleges,Educational,MT,200.0,STOLEN,Yonge-Bay Corridor (170)
2013,October,Wednesday,D11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,RC,3134.0,STOLEN,Junction-Wallace Emerson (171)
2014,April,Wednesday,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,EL,1000.0,STOLEN,Palmerston-Little Italy (80)
2014,April,Tuesday,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,TO,850.0,STOLEN,Harbourfront-CityPlace (165)
2014,April,Wednesday,D11,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,350.0,STOLEN,Dufferin Grove (83)
2014,April,Thursday,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SC,4000.0,STOLEN,South Parkdale (85)
2014,April,Wednesday,D14,"Apartment (Rooming House, Condo)",Apartment,OT,600.0,STOLEN,Harbourfront-CityPlace (165)
2014,April,Thursday,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RC,700.0,STOLEN,Kensington-Chinatown (78)
2014,April,Thursday,D43,Go Station,Transit,RG,750.0,STOLEN,West Rouge (143)
2014,April,Thursday,D51,"Apartment (Rooming House, Condo)",Apartment,EL,900.0,STOLEN,Church-Wellesley (167)
2014,April,Friday,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,800.0,STOLEN,South Eglinton-Davisville (174)
2014,April,Friday,D51,"Open Areas (Lakes, Parks, Rivers)",Outside,RG,600.0,STOLEN,Downtown Yonge East (168)
2014,April,Thursday,D54,"Single Home, House (Attach Garage, Cottage, Mobile)",House,RG,,STOLEN,Old East York (58)
2014,April,Friday,D52,Jails / Detention Centres,Other,BM,200.0,STOLEN,Yonge-Bay Corridor (170)
2014,April,Friday,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,550.0,STOLEN,Oakwood Village (107)
2014,April,Friday,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EL,1000.0,STOLEN,Rosedale-Moore Park (98)
2014,April,Saturday,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,800.0,STOLEN,Yonge-Bay Corridor (170)
2014,April,Sunday,D52,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,EL,1464.75,STOLEN,Yonge-Bay Corridor (170)
2014,April,Friday,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MT,700.0,STOLEN,Leaside-Bennington (56)
2014,April,Friday,D52,"Apartment (Rooming House, Condo)",Apartment,RC,2100.0,STOLEN,Bay-Cloverhill (169)
2014,April,Thursday,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,MT,600.0,STOLEN,Wellington Place (164)
2014,April,Friday,D31,"Apartment (Rooming House, Condo)",Apartment,EL,962.760009765625,UNKNOWN,York University Heights (27)
2013,December,Sunday,D13,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MT,200.0,STOLEN,Briar Hill-Belgravia (108)
2012,August,Thursday,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,MT,1000.0,STOLEN,Etobicoke City Centre (159)
2014,March,Friday,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OT,72.0,STOLEN,Thorncliffe Park (55)
2014,April,Sunday,D14,"Open Areas (Lakes, Parks, Rivers)",Outside,RG,700.0,STOLEN,West Queen West (162)
2014,April,Saturday,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RC,550.0,STOLEN,Kensington-Chinatown (78)
2014,April,Sunday,D13,"Private Property Structure (Pool, Shed, Detached Garage)",Other,MT,400.0,STOLEN,Wychwood (94)
2014,April,Sunday,D52,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,MT,0.0,STOLEN,Yonge-Bay Corridor (170)
2014,April,Sunday,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,RG,600.0,STOLEN,Trinity-Bellwoods (81)
2014,April,Saturday,D52,Universities / Colleges,Educational,OT,600.0,STOLEN,Kensington-Chinatown (78)
2013,November,Friday,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,MT,50.0,STOLEN,Dufferin Grove (83)
2013,November,Friday,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,OT,600.0,STOLEN,Dufferin Grove (83)
